problem_id,submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,input_file,output_file,compiler,optimization_level,is_stripped,obfuscator,obfuscation_techniques,verification_status,function_count,nloc,cc_total,cc_max,decision_points,cf_density,max_nesting_depth,length_group,complexity_group,stratum,representative_random_score,selection_bucket_index,selection_rank_in_stratum,random_seed,output_dir,copied_clean_source,copied_binary,copied_input,copied_output
p01970,s660972586,357,1038,clean_src/p01970/s660972586.c,obfuscated_bin/p01970/s660972586_fla_bcf_instsub.elf,input_output/p01970/input.txt,input_output/p01970/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,39,16,10,13,33.33333333333333,2,short,complex,short_complex,0.4115418754922776,6,358,20260717,Data_Thuc_Nghiem/short_complex/p01970,Data_Thuc_Nghiem/short_complex/p01970/s660972586.c,Data_Thuc_Nghiem/short_complex/p01970/s660972586_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p01970/input.txt,Data_Thuc_Nghiem/short_complex/p01970/output.txt
p00165,s722254321,282,816,clean_src/p00165/s722254321.c,obfuscated_bin/p00165/s722254321_fla_bcf_instsub.elf,input_output/p00165/input.txt,input_output/p00165/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,31,12,12,11,35.483870967741936,2,short,complex,short_complex,0.954185994120202,7,423,20260717,Data_Thuc_Nghiem/short_complex/p00165,Data_Thuc_Nghiem/short_complex/p00165/s722254321.c,Data_Thuc_Nghiem/short_complex/p00165/s722254321_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p00165/input.txt,Data_Thuc_Nghiem/short_complex/p00165/output.txt
p01766,s942434524,360,745,clean_src/p01766/s942434524.c,obfuscated_bin/p01766/s942434524_fla_bcf_instsub.elf,input_output/p01766/input.txt,input_output/p01766/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,23,10,10,9,39.130434782608695,2,short,complex,short_complex,0.019245453480250974,8,488,20260717,Data_Thuc_Nghiem/short_complex/p01766,Data_Thuc_Nghiem/short_complex/p01766/s942434524.c,Data_Thuc_Nghiem/short_complex/p01766/s942434524_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p01766/input.txt,Data_Thuc_Nghiem/short_complex/p01766/output.txt
p02474,s383039486,319,636,clean_src/p02474/s383039486.c,obfuscated_bin/p02474/s383039486_fla_bcf_instsub.elf,input_output/p02474/input.txt,input_output/p02474/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,25,12,12,11,44.0,1,short,complex,short_complex,0.5289739904352856,9,553,20260717,Data_Thuc_Nghiem/short_complex/p02474,Data_Thuc_Nghiem/short_complex/p02474/s383039486.c,Data_Thuc_Nghiem/short_complex/p02474/s383039486_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p02474/input.txt,Data_Thuc_Nghiem/short_complex/p02474/output.txt
p00327,s356526576,364,723,clean_src/p00327/s356526576.c,obfuscated_bin/p00327/s356526576_fla_bcf_instsub.elf,input_output/p00327/input.txt,input_output/p00327/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,26,16,16,15,57.692307692307686,3,short,complex,short_complex,0.06990403927210298,10,618,20260717,Data_Thuc_Nghiem/short_complex/p00327,Data_Thuc_Nghiem/short_complex/p00327/s356526576.c,Data_Thuc_Nghiem/short_complex/p00327/s356526576_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p00327/input.txt,Data_Thuc_Nghiem/short_complex/p00327/output.txt
p03835,s836003439,1433,5503,clean_src/p03835/s836003439.c,obfuscated_bin/p03835/s836003439_fla_bcf_instsub.elf,input_output/p03835/input.txt,input_output/p03835/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,25,283,44,3,19,6.713780918727916,3,long,simple,long_simple,0.8466420890379,1,33,20260717,Data_Thuc_Nghiem/long_simple/p03835,Data_Thuc_Nghiem/long_simple/p03835/s836003439.c,Data_Thuc_Nghiem/long_simple/p03835/s836003439_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03835/input.txt,Data_Thuc_Nghiem/long_simple/p03835/output.txt
p02289,s913513064,1103,12630,clean_src/p02289/s913513064.c,obfuscated_bin/p02289/s913513064_fla_bcf_instsub.elf,input_output/p02289/input.txt,input_output/p02289/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,8,263,37,8,29,11.02661596958175,4,long,simple,long_simple,0.9376129169524188,2,98,20260717,Data_Thuc_Nghiem/long_simple/p02289,Data_Thuc_Nghiem/long_simple/p02289/s913513064.c,Data_Thuc_Nghiem/long_simple/p02289/s913513064_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p02289/input.txt,Data_Thuc_Nghiem/long_simple/p02289/output.txt
p00793,s729150918,991,2198,clean_src/p00793/s729150918.c,obfuscated_bin/p00793/s729150918_fla_bcf_instsub.elf,input_output/p00793/input.txt,input_output/p00793/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,7,68,16,4,9,13.23529411764706,1,long,simple,long_simple,0.9955075460559221,3,163,20260717,Data_Thuc_Nghiem/long_simple/p00793,Data_Thuc_Nghiem/long_simple/p00793/s729150918.c,Data_Thuc_Nghiem/long_simple/p00793/s729150918_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p00793/input.txt,Data_Thuc_Nghiem/long_simple/p00793/output.txt
p03854,s574999050,912,4041,clean_src/p03854/s574999050.c,obfuscated_bin/p03854/s574999050_fla_bcf_instsub.elf,input_output/p03854/input.txt,input_output/p03854/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,15,114,32,9,17,14.912280701754385,2,long,simple,long_simple,0.955831857939328,4,228,20260717,Data_Thuc_Nghiem/long_simple/p03854,Data_Thuc_Nghiem/long_simple/p03854/s574999050.c,Data_Thuc_Nghiem/long_simple/p03854/s574999050_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03854/input.txt,Data_Thuc_Nghiem/long_simple/p03854/output.txt
p03543,s082142762,1473,6744,clean_src/p03543/s082142762.c,obfuscated_bin/p03543/s082142762_fla_bcf_instsub.elf,input_output/p03543/input.txt,input_output/p03543/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,21,214,55,10,34,15.887850467289718,5,long,simple,long_simple,0.8709271943296802,5,293,20260717,Data_Thuc_Nghiem/long_simple/p03543,Data_Thuc_Nghiem/long_simple/p03543/s082142762.c,Data_Thuc_Nghiem/long_simple/p03543/s082142762_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03543/input.txt,Data_Thuc_Nghiem/long_simple/p03543/output.txt
p03434,s567580506,2348,10460,clean_src/p03434/s567580506.c,obfuscated_bin/p03434/s567580506_fla_bcf_instsub.elf,input_output/p03434/input.txt,input_output/p03434/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,34,304,85,8,51,16.776315789473685,3,long,simple,long_simple,0.6217844633927355,6,358,20260717,Data_Thuc_Nghiem/long_simple/p03434,Data_Thuc_Nghiem/long_simple/p03434/s567580506.c,Data_Thuc_Nghiem/long_simple/p03434/s567580506_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03434/input.txt,Data_Thuc_Nghiem/long_simple/p03434/output.txt
p03493,s344335879,1906,7587,clean_src/p03493/s344335879.c,obfuscated_bin/p03493/s344335879_fla_bcf_instsub.elf,input_output/p03493/input.txt,input_output/p03493/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,25,239,68,8,43,17.99163179916318,3,long,simple,long_simple,0.9515248754269393,7,423,20260717,Data_Thuc_Nghiem/long_simple/p03493,Data_Thuc_Nghiem/long_simple/p03493/s344335879.c,Data_Thuc_Nghiem/long_simple/p03493/s344335879_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03493/input.txt,Data_Thuc_Nghiem/long_simple/p03493/output.txt
p03773,s799607332,1133,4651,clean_src/p03773/s799607332.c,obfuscated_bin/p03773/s799607332_fla_bcf_instsub.elf,input_output/p03773/input.txt,input_output/p03773/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,15,146,44,8,29,19.863013698630137,3,long,simple,long_simple,0.8500929580950991,8,488,20260717,Data_Thuc_Nghiem/long_simple/p03773,Data_Thuc_Nghiem/long_simple/p03773/s799607332.c,Data_Thuc_Nghiem/long_simple/p03773/s799607332_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03773/input.txt,Data_Thuc_Nghiem/long_simple/p03773/output.txt
p03199,s752471056,1075,2391,clean_src/p03199/s752471056.c,obfuscated_bin/p03199/s752471056_fla_bcf_instsub.elf,input_output/p03199/input.txt,input_output/p03199/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,7,117,33,18,26,22.22222222222222,4,long,simple,long_simple,0.7435714758180009,9,553,20260717,Data_Thuc_Nghiem/long_simple/p03199,Data_Thuc_Nghiem/long_simple/p03199/s752471056.c,Data_Thuc_Nghiem/long_simple/p03199/s752471056_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p03199/input.txt,Data_Thuc_Nghiem/long_simple/p03199/output.txt
p02788,s653265412,964,2495,clean_src/p02788/s653265412.c,obfuscated_bin/p02788/s653265412_fla_bcf_instsub.elf,input_output/p02788/input.txt,input_output/p02788/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,8,96,32,7,24,25.0,2,long,simple,long_simple,0.8078106673337804,10,618,20260717,Data_Thuc_Nghiem/long_simple/p02788,Data_Thuc_Nghiem/long_simple/p02788/s653265412.c,Data_Thuc_Nghiem/long_simple/p02788/s653265412_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_simple/p02788/input.txt,Data_Thuc_Nghiem/long_simple/p02788/output.txt
p01571,s327549193,1794,4359,clean_src/p01571/s327549193.c,obfuscated_bin/p01571/s327549193_fla_bcf_instsub.elf,input_output/p01571/input.txt,input_output/p01571/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,10,158,53,13,43,27.21518987341772,4,long,complex,long_complex,0.666408545759649,1,33,20260717,Data_Thuc_Nghiem/long_complex/p01571,Data_Thuc_Nghiem/long_complex/p01571/s327549193.c,Data_Thuc_Nghiem/long_complex/p01571/s327549193_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p01571/input.txt,Data_Thuc_Nghiem/long_complex/p01571/output.txt
p02029,s891773536,711,2119,clean_src/p02029/s891773536.c,obfuscated_bin/p02029/s891773536_fla_bcf_instsub.elf,input_output/p02029/input.txt,input_output/p02029/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,6,77,29,14,23,29.87012987012987,1,long,complex,long_complex,0.8908851824041331,2,98,20260717,Data_Thuc_Nghiem/long_complex/p02029,Data_Thuc_Nghiem/long_complex/p02029/s891773536.c,Data_Thuc_Nghiem/long_complex/p02029/s891773536_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p02029/input.txt,Data_Thuc_Nghiem/long_complex/p02029/output.txt
p02477,s228971816,2580,6218,clean_src/p02477/s228971816.c,obfuscated_bin/p02477/s228971816_fla_bcf_instsub.elf,input_output/p02477/input.txt,input_output/p02477/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,9,273,97,45,88,32.234432234432234,4,long,complex,long_complex,0.7763387027427474,3,163,20260717,Data_Thuc_Nghiem/long_complex/p02477,Data_Thuc_Nghiem/long_complex/p02477/s228971816.c,Data_Thuc_Nghiem/long_complex/p02477/s228971816_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p02477/input.txt,Data_Thuc_Nghiem/long_complex/p02477/output.txt
p01296,s236329906,1301,3532,clean_src/p01296/s236329906.c,obfuscated_bin/p01296/s236329906_fla_bcf_instsub.elf,input_output/p01296/input.txt,input_output/p01296/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,9,118,51,25,42,35.59322033898305,4,long,complex,long_complex,0.415959106925174,4,228,20260717,Data_Thuc_Nghiem/long_complex/p01296,Data_Thuc_Nghiem/long_complex/p01296/s236329906.c,Data_Thuc_Nghiem/long_complex/p01296/s236329906_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p01296/input.txt,Data_Thuc_Nghiem/long_complex/p01296/output.txt
p03006,s125302006,2646,5893,clean_src/p03006/s125302006.c,obfuscated_bin/p03006/s125302006_fla_bcf_instsub.elf,input_output/p03006/input.txt,input_output/p03006/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,50,157,112,11,62,39.490445859872615,5,long,complex,long_complex,0.9215930429769227,5,293,20260717,Data_Thuc_Nghiem/long_complex/p03006,Data_Thuc_Nghiem/long_complex/p03006/s125302006.c,Data_Thuc_Nghiem/long_complex/p03006/s125302006_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p03006/input.txt,Data_Thuc_Nghiem/long_complex/p03006/output.txt
p03142,s710805295,5015,16018,clean_src/p03142/s710805295.c,obfuscated_bin/p03142/s710805295_fla_bcf_instsub.elf,input_output/p03142/input.txt,input_output/p03142/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,74,289,197,24,123,42.56055363321799,5,long,complex,long_complex,0.6943558177224753,6,358,20260717,Data_Thuc_Nghiem/long_complex/p03142,Data_Thuc_Nghiem/long_complex/p03142/s710805295.c,Data_Thuc_Nghiem/long_complex/p03142/s710805295_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p03142/input.txt,Data_Thuc_Nghiem/long_complex/p03142/output.txt
p00867,s333068212,2108,4363,clean_src/p00867/s333068212.c,obfuscated_bin/p00867/s333068212_fla_bcf_instsub.elf,input_output/p00867/input.txt,input_output/p00867/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,14,140,78,21,64,45.714285714285715,4,long,complex,long_complex,0.6270989189427911,7,423,20260717,Data_Thuc_Nghiem/long_complex/p00867,Data_Thuc_Nghiem/long_complex/p00867/s333068212.c,Data_Thuc_Nghiem/long_complex/p00867/s333068212_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p00867/input.txt,Data_Thuc_Nghiem/long_complex/p00867/output.txt
p03261,s577603531,2074,4601,clean_src/p03261/s577603531.c,obfuscated_bin/p03261/s577603531_fla_bcf_instsub.elf,input_output/p03261/input.txt,input_output/p03261/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,43,97,90,7,47,48.45360824742268,3,long,complex,long_complex,0.9402505956180597,8,488,20260717,Data_Thuc_Nghiem/long_complex/p03261,Data_Thuc_Nghiem/long_complex/p03261/s577603531.c,Data_Thuc_Nghiem/long_complex/p03261/s577603531_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p03261/input.txt,Data_Thuc_Nghiem/long_complex/p03261/output.txt
p03776,s721771429,1735,3473,clean_src/p03776/s721771429.c,obfuscated_bin/p03776/s721771429_fla_bcf_instsub.elf,input_output/p03776/input.txt,input_output/p03776/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,81,55,25,50,61.72839506172839,3,long,complex,long_complex,0.0070625850532073375,9,553,20260717,Data_Thuc_Nghiem/long_complex/p03776,Data_Thuc_Nghiem/long_complex/p03776/s721771429.c,Data_Thuc_Nghiem/long_complex/p03776/s721771429_fla_bcf_instsub.elf,Data_Thuc_Nghiem/long_complex/p03776/input.txt,Data_Thuc_Nghiem/long_complex/p03776/output.txt
