problem_id,submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,input_file,output_file,compiler,optimization_level,is_stripped,obfuscator,obfuscation_techniques,verification_status,function_count,nloc,cc_total,cc_max,decision_points,cf_density,length_group,complexity_group,stratum,representative_random_score,length_rank,complexity_rank_within_length_group,lizard_error
p00011,s765737364,327,787,clean_src/p00011/s765737364.c,obfuscated_bin/p00011/s765737364_fla_bcf_instsub.elf,input_output/p00011/input.txt,input_output/p00011/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,52,11,4,7,13.461538461538462,short,simple,short_simple,0.5498852790429318,297,156,
p00012,s471300936,1126,2473,clean_src/p00012/s471300936.c,obfuscated_bin/p00012/s471300936_fla_bcf_instsub.elf,input_output/p00012/input.txt,input_output/p00012/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,133,89,89,88,66.16541353383458,long,complex,long_complex,0.896050023396359,1845,1220,
p00013,s723997225,356,1497,clean_src/p00013/s723997225.c,obfuscated_bin/p00013/s723997225_fla_bcf_instsub.elf,input_output/p00013/input.txt,input_output/p00013/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,74,15,5,10,13.513513513513514,short,simple,short_simple,0.95439807786328,389,160,
p00015,s264496287,812,2338,clean_src/p00015/s264496287.c,obfuscated_bin/p00015/s264496287_fla_bcf_instsub.elf,input_output/p00015/input.txt,input_output/p00015/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,127,25,25,24,18.89763779527559,long,simple,long_simple,0.6829392295705343,1494,456,
p00016,s150561866,476,1286,clean_src/p00016/s150561866.c,obfuscated_bin/p00016/s150561866_fla_bcf_instsub.elf,input_output/p00016/input.txt,input_output/p00016/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,59,15,11,13,22.033898305084744,short,simple,short_simple,0.5307844945158507,758,538,
p00017,s200924397,711,1954,clean_src/p00017/s200924397.c,obfuscated_bin/p00017/s200924397_fla_bcf_instsub.elf,input_output/p00017/input.txt,input_output/p00017/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,68,45,45,44,64.70588235294117,long,complex,long_complex,0.6857847633686388,1322,1214,
p00018,s321801380,381,976,clean_src/p00018/s321801380.c,obfuscated_bin/p00018/s321801380_fla_bcf_instsub.elf,input_output/p00018/input.txt,input_output/p00018/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,52,11,5,8,15.384615384615385,short,simple,short_simple,0.8922415948688542,485,219,
p00019,s575210285,458,1047,clean_src/p00019/s575210285.c,obfuscated_bin/p00019/s575210285_fla_bcf_instsub.elf,input_output/p00019/input.txt,input_output/p00019/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,64,17,5,12,18.75,short,simple,short_simple,0.821655109673587,712,375,
p00020,s073988155,440,1473,clean_src/p00020/s073988155.c,obfuscated_bin/p00020/s073988155_fla_bcf_instsub.elf,input_output/p00020/input.txt,input_output/p00020/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,69,30,30,29,42.028985507246375,short,complex,short_complex,0.9239824705091293,659,1180,
p00021,s352555327,421,795,clean_src/p00021/s352555327.c,obfuscated_bin/p00021/s352555327_fla_bcf_instsub.elf,input_output/p00021/input.txt,input_output/p00021/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,44,13,13,12,27.27272727272727,short,complex,short_complex,0.9963922347081438,613,776,
p00022,s121425519,558,1465,clean_src/p00022/s121425519.c,obfuscated_bin/p00022/s121425519_fla_bcf_instsub.elf,input_output/p00022/input.txt,input_output/p00022/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,89,18,6,14,15.730337078651685,short,simple,short_simple,0.651511774286634,974,242,
p00023,s844855015,350,570,clean_src/p00023/s844855015.c,obfuscated_bin/p00023/s844855015_fla_bcf_instsub.elf,input_output/p00023/input.txt,input_output/p00023/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,23,6,6,5,21.73913043478261,short,simple,short_simple,0.693922897345236,366,524,
p00025,s470613980,341,593,clean_src/p00025/s470613980.c,obfuscated_bin/p00025/s470613980_fla_bcf_instsub.elf,input_output/p00025/input.txt,input_output/p00025/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,36,11,11,10,27.77777777777778,short,complex,short_complex,0.9560157922638524,342,800,
p00026,s029488385,1306,3797,clean_src/p00026/s029488385.c,obfuscated_bin/p00026/s029488385_fla_bcf_instsub.elf,input_output/p00026/input.txt,input_output/p00026/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,7,172,57,16,50,29.069767441860467,long,complex,long_complex,0.9886898606491668,1977,727,
p00027,s928759321,1589,5133,clean_src/p00027/s928759321.c,obfuscated_bin/p00027/s928759321_fla_bcf_instsub.elf,input_output/p00027/input.txt,input_output/p00027/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,231,112,112,111,48.05194805194805,long,complex,long_complex,0.8641437338208644,2105,1128,
p00028,s843829216,431,1043,clean_src/p00028/s843829216.c,obfuscated_bin/p00028/s843829216_fla_bcf_instsub.elf,input_output/p00028/input.txt,input_output/p00028/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,57,17,9,14,24.561403508771928,short,simple,short_simple,0.8350047167426349,637,647,
p00029,s160328877,1423,3051,clean_src/p00029/s160328877.c,obfuscated_bin/p00029/s160328877_fla_bcf_instsub.elf,input_output/p00029/input.txt,input_output/p00029/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,9,118,34,13,25,21.1864406779661,long,simple,long_simple,0.5683895394627878,2046,530,
p00030,s735395313,1310,4086,clean_src/p00030/s735395313.c,obfuscated_bin/p00030/s735395313_fla_bcf_instsub.elf,input_output/p00030/input.txt,input_output/p00030/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,11,266,77,11,66,24.81203007518797,long,simple,long_simple,0.9978629268391331,1982,613,
p00031,s904097388,898,2089,clean_src/p00031/s904097388.c,obfuscated_bin/p00031/s904097388_fla_bcf_instsub.elf,input_output/p00031/input.txt,input_output/p00031/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,61,23,23,22,36.0655737704918,long,complex,long_complex,0.9594242983213205,1625,893,
p00033,s763935897,492,1307,clean_src/p00033/s763935897.c,obfuscated_bin/p00033/s763935897_fla_bcf_instsub.elf,input_output/p00033/input.txt,input_output/p00033/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,62,15,12,13,20.967741935483872,short,simple,short_simple,0.7033199289899251,802,488,
p00034,s976675538,575,1451,clean_src/p00034/s976675538.c,obfuscated_bin/p00034/s976675538_fla_bcf_instsub.elf,input_output/p00034/input.txt,input_output/p00034/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,57,9,9,8,14.035087719298245,short,simple,short_simple,0.972046646754184,1015,177,
p00035,s534314134,898,1962,clean_src/p00035/s534314134.c,obfuscated_bin/p00035/s534314134_fla_bcf_instsub.elf,input_output/p00035/input.txt,input_output/p00035/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,99,29,23,26,26.262626262626267,long,complex,long_complex,0.9801585749188372,1626,656,
p00036,s424881865,2056,3522,clean_src/p00036/s424881865.c,obfuscated_bin/p00036/s424881865_fla_bcf_instsub.elf,input_output/p00036/input.txt,input_output/p00036/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,75,28,28,27,36.0,long,complex,long_complex,0.7280507903986743,2265,889,
p00037,s432188307,1088,2627,clean_src/p00037/s432188307.c,obfuscated_bin/p00037/s432188307_fla_bcf_instsub.elf,input_output/p00037/input.txt,input_output/p00037/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,128,33,25,28,21.875,long,simple,long_simple,0.8511159373074165,1816,541,
p00038,s147837302,900,2254,clean_src/p00038/s147837302.c,obfuscated_bin/p00038/s147837302_fla_bcf_instsub.elf,input_output/p00038/input.txt,input_output/p00038/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,102,42,29,37,36.27450980392157,long,complex,long_complex,0.8628354146930927,1628,897,
p00039,s207177908,393,1074,clean_src/p00039/s207177908.c,obfuscated_bin/p00039/s207177908_fla_bcf_instsub.elf,input_output/p00039/input.txt,input_output/p00039/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,51,27,27,26,50.98039215686274,short,complex,short_complex,0.88739018597116,520,1248,
p00040,s634263401,1174,4236,clean_src/p00040/s634263401.c,obfuscated_bin/p00040/s634263401_fla_bcf_instsub.elf,input_output/p00040/input.txt,input_output/p00040/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,197,44,34,41,20.812182741116754,long,simple,long_simple,0.9403005985428675,1890,520,
p00042,s139038991,530,1364,clean_src/p00042/s139038991.c,obfuscated_bin/p00042/s139038991_fla_bcf_instsub.elf,input_output/p00042/input.txt,input_output/p00042/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,61,12,12,11,18.0327868852459,short,simple,short_simple,0.8897461443242977,901,351,
p00043,s121978868,1067,4115,clean_src/p00043/s121978868.c,obfuscated_bin/p00043/s121978868_fla_bcf_instsub.elf,input_output/p00043/input.txt,input_output/p00043/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,6,159,54,13,48,30.18867924528302,long,complex,long_complex,0.7227920094345418,1794,761,
p00044,s036287486,446,889,clean_src/p00044/s036287486.c,obfuscated_bin/p00044/s036287486_fla_bcf_instsub.elf,input_output/p00044/input.txt,input_output/p00044/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,30,18,10,16,53.333333333333336,short,complex,short_complex,0.5825278785682162,675,1259,
p00047,s008820953,380,943,clean_src/p00047/s008820953.c,obfuscated_bin/p00047/s008820953_fla_bcf_instsub.elf,input_output/p00047/input.txt,input_output/p00047/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,60,19,19,18,30.0,short,complex,short_complex,0.601436481021729,478,906,
p00048,s577436523,303,744,clean_src/p00048/s577436523.c,obfuscated_bin/p00048/s577436523_fla_bcf_instsub.elf,input_output/p00048/input.txt,input_output/p00048/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,35,24,24,23,65.71428571428571,short,complex,short_complex,0.22781947180329942,202,1285,
p00049,s001267633,277,774,clean_src/p00049/s001267633.c,obfuscated_bin/p00049/s001267633_fla_bcf_instsub.elf,input_output/p00049/input.txt,input_output/p00049/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,32,16,16,15,46.875,short,complex,short_complex,0.8170248514508544,87,1225,
p00050,s602099398,392,1781,clean_src/p00050/s602099398.c,obfuscated_bin/p00050/s602099398_fla_bcf_instsub.elf,input_output/p00050/input.txt,input_output/p00050/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,69,22,16,19,27.536231884057973,short,complex,short_complex,0.8123340682860074,514,791,
p00051,s654273173,402,862,clean_src/p00051/s654273173.c,obfuscated_bin/p00051/s654273173_fla_bcf_instsub.elf,input_output/p00051/input.txt,input_output/p00051/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,57,14,9,12,21.052631578947366,short,simple,short_simple,0.8230260557830362,551,496,
p00052,s040278992,257,706,clean_src/p00052/s040278992.c,obfuscated_bin/p00052/s040278992_fla_bcf_instsub.elf,input_output/p00052/input.txt,input_output/p00052/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,46,11,11,10,21.73913043478261,short,simple,short_simple,0.516531373570413,3,526,
p00053,s450684682,325,724,clean_src/p00053/s450684682.c,obfuscated_bin/p00053/s450684682_fla_bcf_instsub.elf,input_output/p00053/input.txt,input_output/p00053/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,31,15,10,13,41.935483870967744,short,complex,short_complex,0.9707560870177986,286,1177,
p00056,s332968950,371,1034,clean_src/p00056/s332968950.c,obfuscated_bin/p00056/s332968950_fla_bcf_instsub.elf,input_output/p00056/input.txt,input_output/p00056/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,30,11,11,10,33.33333333333333,short,complex,short_complex,0.7152494911740203,443,1008,
p00058,s451829690,404,1187,clean_src/p00058/s451829690.c,obfuscated_bin/p00058/s451829690_fla_bcf_instsub.elf,input_output/p00058/input.txt,input_output/p00058/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,54,15,12,13,24.074074074074073,short,simple,short_simple,0.864643353182119,556,626,
p00059,s965666677,390,740,clean_src/p00059/s965666677.c,obfuscated_bin/p00059/s965666677_fla_bcf_instsub.elf,input_output/p00059/input.txt,input_output/p00059/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,36,18,18,17,47.22222222222222,short,complex,short_complex,0.9812705655988843,509,1227,
p00060,s294778522,273,713,clean_src/p00060/s294778522.c,obfuscated_bin/p00060/s294778522_fla_bcf_instsub.elf,input_output/p00060/input.txt,input_output/p00060/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,8,43,15,6,7,16.27906976744186,short,simple,short_simple,0.7188954145426727,70,271,
p00061,s165002507,548,1445,clean_src/p00061/s165002507.c,obfuscated_bin/p00061/s165002507_fla_bcf_instsub.elf,input_output/p00061/input.txt,input_output/p00061/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,63,16,11,12,19.047619047619047,short,simple,short_simple,0.770959426670648,946,387,
p00062,s810856102,529,1390,clean_src/p00062/s810856102.c,obfuscated_bin/p00062/s810856102_fla_bcf_instsub.elf,input_output/p00062/input.txt,input_output/p00062/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,55,20,20,19,34.54545454545455,short,complex,short_complex,0.9546229685280366,893,1047,
p00063,s024095496,317,1314,clean_src/p00063/s024095496.c,obfuscated_bin/p00063/s024095496_fla_bcf_instsub.elf,input_output/p00063/input.txt,input_output/p00063/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,57,15,7,12,21.052631578947366,short,simple,short_simple,0.300890616862167,252,491,
p00064,s610762259,263,638,clean_src/p00064/s610762259.c,obfuscated_bin/p00064/s610762259_fla_bcf_instsub.elf,input_output/p00064/input.txt,input_output/p00064/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,34,13,13,12,35.294117647058826,short,complex,short_complex,0.8101208125005737,30,1067,
p00065,s666413231,527,1489,clean_src/p00065/s666413231.c,obfuscated_bin/p00065/s666413231_fla_bcf_instsub.elf,input_output/p00065/input.txt,input_output/p00065/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,82,17,16,15,18.29268292682927,short,simple,short_simple,0.9087702149104131,888,361,
p00066,s618462126,637,969,clean_src/p00066/s618462126.c,obfuscated_bin/p00066/s618462126_fla_bcf_instsub.elf,input_output/p00066/input.txt,input_output/p00066/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,39,55,55,54,138.46153846153845,short,complex,short_complex,0.9480098445794435,1159,1296,
p00067,s526042098,650,1664,clean_src/p00067/s526042098.c,obfuscated_bin/p00067/s526042098_fla_bcf_instsub.elf,input_output/p00067/input.txt,input_output/p00067/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,69,38,25,36,52.17391304347826,short,complex,short_complex,0.7397677340679008,1191,1254,
p00068,s017345147,944,2793,clean_src/p00068/s017345147.c,obfuscated_bin/p00068/s017345147_fla_bcf_instsub.elf,input_output/p00068/input.txt,input_output/p00068/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,99,27,22,25,25.252525252525253,long,simple,long_simple,0.6778757850667618,1680,630,
p00069,s897184188,698,1863,clean_src/p00069/s897184188.c,obfuscated_bin/p00069/s897184188_fla_bcf_instsub.elf,input_output/p00069/input.txt,input_output/p00069/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,107,33,17,30,28.037383177570092,short,complex,short_complex,0.49969786742906286,1296,809,
p00070,s946173372,1075,3007,clean_src/p00070/s946173372.c,obfuscated_bin/p00070/s946173372_fla_bcf_instsub.elf,input_output/p00070/input.txt,input_output/p00070/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,48,7,7,6,12.5,long,simple,long_simple,0.9771211879544675,1801,137,
p00071,s238966184,606,2531,clean_src/p00071/s238966184.c,obfuscated_bin/p00071/s238966184_fla_bcf_instsub.elf,input_output/p00071/input.txt,input_output/p00071/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,101,23,16,21,20.792079207920793,short,simple,short_simple,0.3707190192857792,1084,482,
p00072,s273807530,937,2630,clean_src/p00072/s273807530.c,obfuscated_bin/p00072/s273807530_fla_bcf_instsub.elf,input_output/p00072/input.txt,input_output/p00072/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,6,108,28,10,22,20.37037037037037,long,simple,long_simple,0.8164033643749145,1672,501,
p00074,s715052644,409,942,clean_src/p00074/s715052644.c,obfuscated_bin/p00074/s715052644_fla_bcf_instsub.elf,input_output/p00074/input.txt,input_output/p00074/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,6,66,15,6,9,13.636363636363635,short,simple,short_simple,0.7015860174773937,579,167,
p00076,s782404161,277,792,clean_src/p00076/s782404161.c,obfuscated_bin/p00076/s782404161_fla_bcf_instsub.elf,input_output/p00076/input.txt,input_output/p00076/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,33,7,7,6,18.181818181818183,short,simple,short_simple,0.3622616589890163,88,354,
p00078,s368276664,478,2383,clean_src/p00078/s368276664.c,obfuscated_bin/p00078/s368276664_fla_bcf_instsub.elf,input_output/p00078/input.txt,input_output/p00078/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,104,20,16,18,17.307692307692307,short,simple,short_simple,0.9143587308800737,767,317,
p00079,s102423402,349,578,clean_src/p00079/s102423402.c,obfuscated_bin/p00079/s102423402_fla_bcf_instsub.elf,input_output/p00079/input.txt,input_output/p00079/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,22,3,3,2,9.090909090909092,short,simple,short_simple,0.9811736609627661,362,44,
p00081,s420155514,410,1088,clean_src/p00081/s420155514.c,obfuscated_bin/p00081/s420155514_fla_bcf_instsub.elf,input_output/p00081/input.txt,input_output/p00081/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,8,53,12,3,4,7.547169811320755,short,simple,short_simple,0.6199691307201894,582,24,
p00082,s121602239,625,1340,clean_src/p00082/s121602239.c,obfuscated_bin/p00082/s121602239_fla_bcf_instsub.elf,input_output/p00082/input.txt,input_output/p00082/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,79,26,24,24,30.37974683544304,short,complex,short_complex,0.9781343633800598,1132,914,
p00083,s960497304,526,4601,clean_src/p00083/s960497304.c,obfuscated_bin/p00083/s960497304_fla_bcf_instsub.elf,input_output/p00083/input.txt,input_output/p00083/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,100,30,30,29,28.999999999999996,short,complex,short_complex,0.9628507031621472,885,858,
p00084,s322113492,284,696,clean_src/p00084/s322113492.c,obfuscated_bin/p00084/s322113492_fla_bcf_instsub.elf,input_output/p00084/input.txt,input_output/p00084/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,39,13,13,12,30.76923076923077,short,complex,short_complex,0.8417542932655832,124,933,
